id,label,hemisphere,structure,x,y,z
48,rostralmiddlefrontal_lh,L,cortex,-34.05297393991137,47.33081270073586,15.6404033012156
49,superiorfrontal_lh,L,cortex,-12.151119503641752,28.62287564067981,42.76779066630699
50,caudalmiddlefrontal_lh,L,cortex,-37.08191065900044,12.681291463954011,46.88668730650154
51,precentral_lh,L,cortex,-42.04822296087957,-7.912094093582198,43.279774993607774
52,paracentral_lh,L,cortex,-7.745815707191468,-29.777266875114947,59.07816810741218
53,rostralanteriorcingulate_lh,L,cortex,-6.481491002570692,37.384318766066826,1.3241645244215903
54,caudalanteriorcingulate_lh,L,cortex,-5.618370484242888,19.370099923136053,27.36971560338202
55,posteriorcingulate_lh,L,cortex,-6.203454085930915,-18.91322662173546,37.62131423757371
56,isthmuscingulate_lh,L,cortex,-8.027578282102837,-45.24475725366274,18.66906061476587
57,postcentral_lh,L,cortex,-46.4969877479185,-21.692953360861026,42.84593515196643
58,supramarginal_lh,L,cortex,-55.79620622568093,-37.37846546692607,34.313776750972764
59,superiorparietal_lh,L,cortex,-23.809873480525923,-65.35822376581494,49.951426445050856
60,inferiorparietal_lh,L,cortex,-43.96589945145055,-68.98716281174009,31.553752191370236
61,precuneus_lh,L,cortex,-10.026516673362792,-58.556649256729614,37.56455068970135
62,cuneus_lh,L,cortex,-8.080429541968002,-80.07955292570676,18.262984878369494
63,pericalcarine_lh,L,cortex,-13.51347017318794,-80.62732520846697,5.893200769724189
64,lateraloccipital_lh,L,cortex,-33.056179775280896,-88.14508753592892,0.460674157303373
65,lingual_lh,L,cortex,-14.348324966704226,-68.69664993340847,-5.300583956561823
66,fusiform_lh,L,cortex,-35.90982436098815,-42.11587890903898,-23.41046694273883
67,parahippocampal_lh,L,cortex,-24.61987041036717,-29.243628509719215,-20.120086393088556
68,entorhinal_lh,L,cortex,-24.837685611879166,-5.025601638504867,-33.74859190988223
69,temporalpole_lh,L,cortex,-28.691830065359483,12.481045751633985,-38.38202614379085
70,inferiortemporal_lh,L,cortex,-52.745879381117774,-33.2215977265551,-25.13855383643827
71,middletemporal_lh,L,cortex,-58.79571428571428,-24.053626373626372,-14.994670329670328
72,bankssts_lh,L,cortex,-54.35884439939179,-42.750886974151044,7.627217435377602
73,superiortemporal_lh,L,cortex,-54.0897442685445,-8.435590617885325,-6.516281039868687
74,transversetemporal_lh,L,cortex,-46.58067885117494,-19.620887728459536,6.909138381201046
75,insula_lh,L,cortex,-37.45272385723231,0.5097056981840922,-0.7237528699645139
76,thalamusproper_lh,L,subcortex,-12.362767204834498,-19.00063137007305,6.161360151528811
77,caudate_lh,L,subcortex,-14.340139526969537,8.086608814020764,9.375021269355116
78,putamen_lh,L,subcortex,-26.16570397111913,0.7700361010830363,-1.5954271961492168
79,pallidum_lh,L,subcortex,-20.13486842105263,-4.32236842105263,-2.2368421052631646
80,accumbensarea_lh,L,subcortex,-7.584263392857139,9.71484375,-10.627232142857146
81,hippocampus_lh,L,subcortex,-26.73499352238376,-22.854901396286166,-14.473297826399886
82,amygdala_lh,L,subcortex,-24.165569143932274,-2.9683286296644837,-20.966133584195674
83,brainstem_lh,L,subcortex,-0.3651075078172852,-31.78675735791883,-34.61555075593952
